starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:05:40 2023	1700737540	0	3917	3917	3917
Thu Nov 23 12:05:37 2023	1700737537	0	3917	3917	3917
Thu Nov 23 12:05:27 2023	1700737527	0	3917	3917	3917
Thu Nov 23 12:05:59 2023	1700737559	0	3917	3917	3917
Thu Nov 23 12:06:08 2023	1700737568	0	3917	3917	3917
Thu Nov 23 12:05:38 2023	1700737538	0	3918	3918	3918
Thu Nov 23 12:05:57 2023	1700737557	0	3918	3918	3918
Thu Nov 23 12:06:16 2023	1700737576	0	3918	3918	3918
Thu Nov 23 12:05:48 2023	1700737548	0	3918	3918	3918
Thu Nov 23 12:06:06 2023	1700737566	0	3919	3919	3919
Thu Nov 23 12:06:13 2023	1700737573	0	3919	3919	3919
Thu Nov 23 12:06:16 2023	1700737576	0	3919	3919	3919
Thu Nov 23 12:05:48 2023	1700737548	0	3919	3919	3919
Thu Nov 23 12:05:48 2023	1700737548	0	3919	3919	3919
Thu Nov 23 12:06:17 2023	1700737577	0	3919	3919	3919
Thu Nov 23 12:06:19 2023	1700737579	0	3919	3920	3919
Thu Nov 23 12:06:16 2023	1700737576	0	3920	3920	3920
Thu Nov 23 12:06:17 2023	1700737577	0	3920	3920	3920
Thu Nov 23 12:06:18 2023	1700737578	0	3920	3920	3920
Thu Nov 23 12:05:58 2023	1700737558	0	3921	3921	3921
Thu Nov 23 12:06:21 2023	1700737581	0	3921	3921	3921
Thu Nov 23 12:05:57 2023	1700737557	0	3921	3921	3921
Thu Nov 23 12:06:15 2023	1700737575	0	3921	3921	3921
Thu Nov 23 12:05:57 2023	1700737557	0	3921	3922	3921
Thu Nov 23 12:05:38 2023	1700737538	0	3922	3922	3922
Thu Nov 23 12:06:00 2023	1700737560	0	3922	3922	3922
Thu Nov 23 12:05:26 2023	1700737526	0	3922	3922	3922
Thu Nov 23 12:06:00 2023	1700737560	0	3922	3922	3922
Thu Nov 23 12:06:15 2023	1700737575	0	3922	3922	3922
Thu Nov 23 12:05:37 2023	1700737537	0	3922	3922	3922
Thu Nov 23 12:06:07 2023	1700737567	0	3922	3922	3922
Thu Nov 23 12:06:08 2023	1700737568	0	3923	3923	3922
Thu Nov 23 12:05:58 2023	1700737558	0	3923	3923	3923
Thu Nov 23 12:06:08 2023	1700737568	0	3923	3923	3923
Thu Nov 23 12:05:47 2023	1700737547	0	3923	3923	3923
Thu Nov 23 12:05:47 2023	1700737547	0	3923	3923	3923
Thu Nov 23 12:06:15 2023	1700737575	0	3923	3923	3923
Thu Nov 23 12:06:07 2023	1700737567	0	3923	3923	3923
Thu Nov 23 12:06:22 2023	1700737582	0	3923	3923	3923
Thu Nov 23 12:06:07 2023	1700737567	0	3923	3923	3923
Thu Nov 23 12:05:58 2023	1700737558	0	3924	3924	3924
Thu Nov 23 12:06:15 2023	1700737575	0	3924	3924	3924
Thu Nov 23 12:06:21 2023	1700737581	0	3924	3924	3924
Thu Nov 23 12:06:21 2023	1700737581	0	3924	3924	3924
Thu Nov 23 12:06:14 2023	1700737574	0	3924	3924	3924
Thu Nov 23 12:06:07 2023	1700737567	0	3924	3924	3924
Thu Nov 23 12:06:20 2023	1700737580	0	3925	3925	3924
Thu Nov 23 12:06:16 2023	1700737576	0	3925	3925	3925
Thu Nov 23 12:06:20 2023	1700737580	0	3925	3925	3925
